,date,isEnabled,name,symbol,type
1749,2017-11-03,True,Neuralstem Inc.,CUR,cs
1750,2017-11-03,True,Direxion Daily Healthcare Bull 3X Shares,CURE,et
1751,2017-11-03,True,Guggenheim MSCI Global Timber,CUT,et
1752,2017-11-03,True,Cutera Inc.,CUTR,cs
1753,2017-11-03,True,Cousins Properties Incorporated,CUZ,cs
1754,2017-11-03,True,Covanta Holding Corporation,CVA,cs
1755,2017-11-03,True,CVB Financial Corporation,CVBF,cs
1756,2017-11-03,True,Cavco Industries Inc.,CVCO,cs
1757,2017-11-03,True,Central Valley Community Bancorp,CVCY,cs
1758,2017-11-03,True,Cenovus Energy Inc,CVE,cs
1759,2017-11-03,True,Civeo Corporation (Canada),CVEO,cs
1760,2017-11-03,True,Convergys Corporation,CVG,cs
1761,2017-11-03,True,Commercial Vehicle Group Inc.,CVGI,cs
1762,2017-11-03,True,Calavo Growers Inc.,CVGW,cs
1763,2017-11-03,True,CVR Energy Inc.,CVI,cs
1764,2017-11-03,True,Commvault Systems Inc.,CVLT,cs
1765,2017-11-03,True,Codorus Valley Bancorp Inc,CVLY,cs
1766,2017-11-03,True,Cel-Sci Corporation ($0.001 Par Value),CVM,cs
1767,2017-11-03,True,Cel-Sci Corporation Warrants Exp 10/11/2018,CVM+,N/A
1768,2017-11-03,True,Carvana Co. Class A,CVNA,cs
1769,2017-11-03,True,Cenveo Inc,CVO,cs
1770,2017-11-03,True,Chicago Rivet & Machine Co.,CVR,cs
1771,2017-11-03,True,CVR Refining LP Representing Limited Partner Interests,CVRR,cs
1772,2017-11-03,True,Corindus Vascular Robotics Inc. (DE),CVRS,cs
1773,2017-11-03,True,CVS Health Corporation,CVS,cs
1774,2017-11-03,True,Covenant Transportation Group Inc.,CVTI,cs
1775,2017-11-03,True,CPI Aerostructures Inc.,CVU,cs
1776,2017-11-03,True,CVD Equipment Corporation,CVV,cs
1777,2017-11-03,True,Chevron Corporation,CVX,cs
1778,2017-11-03,True,Guggenheim Multi-Asset Income,CVY,et
1779,2017-11-03,True,Curtiss-Wright Corporation,CW,cs
1780,2017-11-03,True,CWA Income,CWAI,N/A
1781,2017-11-03,True,Coastway Bancorp Inc.,CWAY,cs
1782,2017-11-03,True,SPDR Bloomberg Barclays Convertible Securities,CWB,et
1783,2017-11-03,True,Community West Bancshares,CWBC,cs
1784,2017-11-03,True,Consolidated Water Co. Ltd.,CWCO,cs
1785,2017-11-03,True,Direxion Daily CSI China Internet Index Bull 2X Shares,CWEB,N/A
1786,2017-11-03,True,Camping World Holdings Inc. Class A Commom Stock,CWH,cs
1787,2017-11-03,True,SPDR MSCI ACWI ex-US,CWI,et
1788,2017-11-03,True,AdvisorShares Focused Equity,CWS,N/A
1789,2017-11-03,True,Casella Waste Systems Inc.,CWST,cs
1790,2017-11-03,True,California Water Service Group,CWT,cs
1791,2017-11-03,True,Cemex S.A.B. de C.V. Sponsored ADR,CX,cs
1792,2017-11-03,True,China XD Plastics Company Limited,CXDC,cs
1793,2017-11-03,True,MFS High Income Municipal Trust,CXE,cs
1794,2017-11-03,True,MFS Investment Grade Municipal Trust,CXH,cs
1795,2017-11-03,True,Concho Resources Inc.,CXO,cs
1796,2017-11-03,True,Columbia Property Trust Inc.,CXP,cs
1797,2017-11-03,True,Concordia International Corp.,CXRX,cs
1798,2017-11-03,True,WisdomTree China ex-State-Owned Enterprises Fund,CXSE,et
1799,2017-11-03,True,CoreCivic Inc.,CXW,cs
1800,2017-11-03,True,Cypress Semiconductor Corporation,CY,cs
1801,2017-11-03,True,Celyad SA,CYAD,cs
1802,2017-11-03,True,Cyanotech Corporation,CYAN,cs
1803,2017-11-03,True,WisdomTree Chinese Yuan Strategy Fund,CYB,et
1804,2017-11-03,True,CyberOptics Corporation,CYBE,cs
1805,2017-11-03,True,CyberArk Software Ltd.,CYBR,cs
1806,2017-11-03,True,Cyclacel Pharmaceuticals Inc.,CYCC,cs
1807,2017-11-03,True,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,CYCCP,ps
1808,2017-11-03,True,China Yuchai International Limited,CYD,cs
1809,2017-11-03,True,Community Health Systems Inc.,CYH,cs
1810,2017-11-03,True,Community Health Systems Inc. Series A Contingent Value Rights,CYHHZ,N/A
1811,2017-11-03,True,Changyou.com Limited,CYOU,cs
1812,2017-11-03,True,CYREN Ltd.,CYRN,cs
1813,2017-11-03,True,CryoPort Inc.,CYRX,cs
1814,2017-11-03,True,,CYRXW,N/A
1815,2017-11-03,True,CYS Investments Inc.,CYS,cs
1816,2017-11-03,True,CYS Investments Inc Cumulative Redeemable Preferred Series A,CYS-A,ps
1817,2017-11-03,True,CYS Investments Inc. Preferred Series B,CYS-B,ps
1818,2017-11-03,True,Cytokinetics Incorporated,CYTK,cs
1819,2017-11-03,True,CytRx Corporation,CYTR,cs
1820,2017-11-03,True,Cytori Therapeutics Inc,CYTX,cs
1821,2017-11-03,True,Cytori Therapeutics Inc Warrant,CYTXW,N/A
1822,2017-11-03,True,Guggenheim Mid-Cap Core,CZA,et
1823,2017-11-03,True,Citizens First Corporation,CZFC,cs
1824,2017-11-03,True,Citizens & Northern Corp,CZNC,cs
1825,2017-11-03,True,Caesars Entertainment Corporation,CZR,cs
1826,2017-11-03,True,Citizens Community Bancorp Inc.,CZWI,cs
1827,2017-11-03,True,Cosan Limited Class A,CZZ,cs
1828,2017-11-03,True,Dominion Energy Inc.,D,cs
1829,2017-11-03,True,Danaos Corporation,DAC,cs
1830,2017-11-03,True,DB Agriculture Double Long ETN due April 1 2038,DAG,et
1831,2017-11-03,True,Data I/O Corporation,DAIO,cs
1832,2017-11-03,True,Daktronics Inc.,DAKT,cs
1833,2017-11-03,True,Delta Air Lines Inc.,DAL,cs
1834,2017-11-03,False,Anfield Capital Diversified Alternatives ETF,DALT,N/A
1835,2017-11-03,True,Dana Incorporated,DAN,cs
1836,2017-11-03,True,Darling Ingredients Inc.,DAR,cs
1837,2017-11-03,True,Dare Bioscience Inc.,DARE,cs
1838,2017-11-03,True,Tableau Software Inc. Class A,DATA,cs
1839,2017-11-03,True,Famous Dave's of America Inc.,DAVE,cs
1840,2017-11-03,True,Horizons DAX Germany ETF,DAX,N/A
1841,2017-11-03,True,Deutsche Bank AG,DB,cs
1842,2017-11-03,True,PowerShares DB Agriculture Fund,DBA,et
1843,2017-11-03,True,Xtrackers MSCI Asia Pacific ex Japan Hedged Equity,DBAP,N/A
1844,2017-11-03,True,Xtrackers MSCI All World ex US Hedged Equity,DBAW,N/A
1845,2017-11-03,True,PowerShares DB Base Metals Fund,DBB,et
1846,2017-11-03,True,Xtrackers MSCI Brazil Hedged Equity,DBBR,et
1847,2017-11-03,True,PowerShares DB Commodity Index Trac,DBC,et
1848,2017-11-03,True,Diebold Nixdorf Incorporated,DBD,cs
1849,2017-11-03,True,PowerShares DB Energy Fund,DBE,et
1850,2017-11-03,True,Xtrackers MSCI EAFE Hedged Equity,DBEF,et
1851,2017-11-03,True,Xtrackers MSCI Emerging Markets Hedged Equity,DBEM,et
1852,2017-11-03,True,Xtrackers MSCI EAFE Small Cap Hedged Equity,DBES,N/A
1853,2017-11-03,True,Xtrackers MSCI Europe Hedged Equity,DBEU,N/A
1854,2017-11-03,True,Xtrackers MSCI Eurozone Hedged Equity,DBEZ,N/A
1855,2017-11-03,True,Xtrackers MSCI Germany Hedged Equity,DBGR,et
1856,2017-11-03,True,Xtrackers MSCI Japan Hedged Equity,DBJP,N/A
1857,2017-11-03,True,Xtrackers MSCI South Korea Hedged Equity,DBKO,N/A
1858,2017-11-03,True,DoubleLine Opportunistic Credit Fund of Beneficial Interest,DBL,cs
1859,2017-11-03,True,Xtrackers MSCI Mexico Hedged Equity,DBMX,N/A
1860,2017-11-03,True,PowerShares DB Oil Fund,DBO,et
1861,2017-11-03,True,PowerShares DB Precious Metals Fund,DBP,et
1862,2017-11-03,False,Credit Suisse AxelaTrader 3x Inverse Brent Crude Oil ETN,DBRT,N/A
1863,2017-11-03,True,PowerShares DB Silver Fund,DBS,et
1864,2017-11-03,True,Xtrackers MSCI United Kingdom Hedged Equity,DBUK,N/A
1865,2017-11-03,True,PowerShares DB G10 Currency Harvest,DBV,et
1866,2017-11-03,True,DBV Technologies S.A.,DBVT,cs
1867,2017-11-03,True,Dreyfus Alcentra Global Credit Income 2024 Target Term Fund Inc.,DCF,N/A
